trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.486, 'e': 0.48767497911552943}",20,0,-14.941284952229646,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.485, 'e': 0.46329123015975293}",20,8,-44.55302798481478,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.484, 'e': 0.44012666865176525}",20,13,14.6602419052318,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.483, 'e': 0.41812033521917696}",25,12,-0.7677767587610449,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.482, 'e': 0.3972143184582181}",30,0,-78.42794902102209,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.481, 'e': 0.37735360253530714}",30,2,-39.34796719395658,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 1}",1
20,False,"{'a': 0.48, 'e': 0.35848592240854177}",30,5,-14.485169563759156,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",1
21,False,"{'a': 0.479, 'e': 0.34056162628811465}",25,0,-78.1692058166942,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
22,False,"{'a': 0.478, 'e': 0.3235335449737089}",25,0,19.004610650064617,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.477, 'e': 0.30735686772502346}",35,16,27.584082491728385,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.476, 'e': 0.2919890243387723}",20,8,-11.539877759753065,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.475, 'e': 0.27738957312183365}",25,3,-48.892975615128414,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
26,False,"{'a': 0.474, 'e': 0.263520094465742}",20,7,16.01286494323402,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.473, 'e': 0.25034408974245487}",20,16,8.302307829415733,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.472, 'e': 0.2378268852553321}",20,9,19.08608421640398,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.471, 'e': 0.2259355409925655}",25,17,7.896551848903497,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
30,False,"{'a': 0.47, 'e': 0.2146387639429372}",25,15,7.952142042674734,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.469, 'e': 0.20390682574579033}",20,2,15.82340683459201,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
32,False,"{'a': 0.46799999999999997, 'e': 0.1937114844585008}",20,0,-14.831412258097448,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.46699999999999997, 'e': 0.18402591023557577}",25,8,27.950429278428203,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.46599999999999997, 'e': 0.17482461472379698}",25,3,-9.061865783646205,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
35,False,"{'a': 0.46499999999999997, 'e': 0.16608338398760714}",30,20,19.49804185379036,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.46399999999999997, 'e': 0.15777921478822676}",20,9,5.035650665181794,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.46299999999999997, 'e': 0.14989025404881542}",25,18,11.770724632132612,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.46199999999999997, 'e': 0.14239574134637464}",25,9,-15.761600289412918,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.46099999999999997, 'e': 0.1352759542790559}",25,12,-0.7616040087944769,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.45999999999999996, 'e': 0.1285121565651031}",20,0,20.609519682056735,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.45899999999999996, 'e': 0.12208654873684793}",20,12,16.358851446624392,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
